S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
63.,12119032,PSYLLIUM HUSK (ISOBGUL HUSK),KGS  ,7.14,20.00,180.11,125.14,155.50,24.26
64.,12119039,"OTHR BARK, HUSK AND RIND FRESH/DRIED W/N CUT CRSHD/POWDERED",KGS  ,2.00,NaN,NaN,2.00,NaN,NaN
65.,12119049,OTHER ROOTS AND RHIZOMES FRSH/DRD W/N CUT CRSHD/PWDRD,KGS  ,13.24,NaN,NaN,13.24,10.24,-22.66
66.,12119060,*VINCA ROSEA (HERBS),KGS  ,NaN,NaN,NaN,0.55,NaN,NaN
67.,12119099,"*OTHER PLANTS AND PARTS OF PLANTS USD IN PRFMRY, PHARMCY, INSECTICDL/FUNGICDL PURPSE, FRESH/DRIED",KGS  ,7.35,NaN,NaN,31.33,11.00,-64.89
68.,13019016,KARAYA GUM(INDIAN TRAGACANTH) HASTAB,KGS  ,NaN,NaN,NaN,39.00,24.00,-38.46
69.,13019019,OTHER NATURAL GUMS,KGS  ,2.24,0.73,-67.59,3.84,0.73,-81.09
70.,13019041,OLEORES INS OF SEEDS,KGS  ,NaN,1.00,NaN,4.50,1.00,-77.78
71.,13019099,OTHER OLEORESINS,KGS  ,31.37,24.40,-22.22,212.44,76.48,-64.00
72.,14049050,INDIAN KALTHA,KGS  ,NaN,NaN,NaN,1.50,NaN,NaN
73.,14049090,"OTHER VEG MATRLS, NES",KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
74.,15131900,COCONUT (COPRA) REFINED OIL AND FRACTIONS,KGS  ,0.36,1.65,357.06,0.36,1.74,381.99
75.,15132990,OTHER REFND PALM KNL/BABASU OILS,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
76.,15151990,OTHER LINSEED OIL OTHER THAN EDBLE GRADE,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
77.,15153010,CASTOR OIL AND ITS FRCTNS OF EDBLE GRADE,KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
78.,15153090,CASTOR OILANDITS FRCTNS OTHR THN EDBLE GRADE,KGS  ,NaN,NaN,NaN,1.00,NaN,NaN
79.,15200000,"GLYCEROL, CRUDE; GLYCEROL WATERS AND LYES",KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
80.,15211019,OTHER CARNAUBA WAXES,KGS  ,0.10,NaN,NaN,0.10,NaN,NaN
81.,17011200,BEET SUGR RAW NT CONTNG FLVRNG/COLRNG MATR,KGS  ,NaN,NaN,NaN,NaN,82.00,NaN
82.,17011310,CANE JAGGERY,KGS  ,NaN,NaN,NaN,769.50,NaN,NaN
83.,17011490,OTHER CANE SUGAR EXCL. THOSE SPECIFIED IN NOTE 2,KGS  ,NaN,"2,076.00",NaN,"7,452.00","4,803.00",-35.55
84.,17019990,OTHR REFND SUGAR INCLUDNG CENTRIFUGAL SUGR,KGS  ,"15,128.00","14,958.00",-1.12,"161,179.80","119,160.40",-26.07
85.,17023031,"DEXTROSE,SOLID",KGS  ,NaN,20.00,NaN,NaN,118.00,NaN
86.,17029040,CARAMEL,KGS  ,NaN,NaN,NaN,0.13,NaN,NaN
87.,19011090,OTHER FOOD PRPNS FR INFNT USE EXCL MALTED MILK,KGS  ,NaN,0.21,NaN,6.96,0.21,-97.01
88.,19019090,ALL OTHR PRPN OF FLR MEAL STRCH/MLT EXTRCT,KGS  ,NaN,NaN,NaN,0.24,4.32,"1,686.78"
89.,19021900,OTHR UNCOOKD NOTSTFD/OTHRWSE PRPD PSTA,KGS  ,NaN,NaN,NaN,NaN,148.50,NaN
90.,19023010,DRIED OTHER PASTA,KGS  ,NaN,NaN,NaN,NaN,25.00,NaN
91.,19030000,TPIOCA AND SUBSTTUTES PRPD FRM STRCH IN FORMOF FLKS GRAINS PERLS SFTNGS/IN SMLR FORMS,KGS  ,NaN,NaN,NaN,42.00,NaN,NaN
92.,20079910,JAMS JELLIES MRMLDS ETC. OF MANGOE,KGS  ,NaN,NaN,NaN,88.00,NaN,NaN
93.,20081100,"GROUND NUTS , PRPD/PRSVD",KGS  ,NaN,192.79,NaN,500.62,"1,937.85",287.09
94.,20081930,OTHER NUTS OTHERWISE PRPD/PRSD,KGS  ,241.50,100.51,-58.38,656.05,"1,495.73",127.99
95.,20081940,OTHER ROASTED AND FRIED VEGETABLE PRODUCTS,KGS  ,NaN,NaN,NaN,26.20,104.45,298.66
96.,20081990,OTHER NUTS AND SEEDS NES,KGS  ,NaN,26.40,NaN,0.29,"1,276.22","446,130.77"
97.,20089700,MIXTURES,KGS  ,NaN,NaN,NaN,NaN,0.40,NaN
98.,21069019,SOFT DRINK - OTHER THAN SHARBAT,KGS  ,NaN,NaN,NaN,5.04,NaN,NaN
99.,21069020,PAN-MASALA INCLUDING SCENTED SUPARI (BETEL SPICES PREPARED),KGS  ,0.45,NaN,NaN,2.70,5.00,85.19
100.,21069050,COMPND PRPNS FOR MKNG BEVERGS(NON-ALCOHLC),KGS  ,NaN,NaN,NaN,1.25,NaN,NaN
101.,21069060,FOOD FLAVOURING MATERIAL,KGS  ,NaN,1.00,NaN,NaN,1.00,NaN
102.,21069091,OTHER DIABETIC FOODS,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
103.,21069099,OTHER FOOD PREPARATION NES,KGS  ,315.03,36.59,-88.38,524.23,606.29,15.65
104.,23099010,COMPOUNDED ANIMAL FEED,KGS  ,12.26,NaN,NaN,23.28,19.13,-17.85
105.,23099020,CONCENTRATED FOR COMPOUND ANIMAL FEED,KGS  ,NaN,NaN,NaN,NaN,27.03,NaN
106.,23099090,OTHER PREPARATIONS OF ANIMAL FEEDING,KGS  ,8.48,2.32,-72.67,18.23,208.92,"1,046.35"
107.,24031110,HOOKAH OR GUDAKU TOBACCO,KGS  ,NaN,NaN,NaN,22.47,NaN,NaN
108.,24031921,"OTHER THAN PAPER ROLLED BIRIS, MANUFACTURED WITHOUT THE AID OF MACHINE",KGS  ,NaN,NaN,NaN,NaN,10.89,NaN
109.,24039910,CHEWING TOBACCO,KGS  ,28.78,0.03,-99.88,227.39,26.76,-88.23
110.,24039930,JARDA SCENTED TOBACCO,KGS  ,6.88,NaN,NaN,22.40,12.00,-46.43
111.,24039940,SNUFF,KGS  ,NaN,NaN,NaN,0.89,NaN,NaN
112.,24039990,OTHER MNFRD TOBACCO EXTRCTS AND ESSNCS NES,KGS  ,40.60,8.37,-79.38,603.21,150.15,-75.11
113.,25010010,COMMON SALT(INCL. IODISED SALT),KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
114.,25041010,GRAPHITE CRYSTALLINE (FLAKES/POWDER),KGS  ,NaN,NaN,NaN,NaN,2.00,NaN
115.,25081090,"OTHR BENTONITE (INCL. PROCESSED, ACTIVATEDAND GROUND",KGS  ,0.16,NaN,NaN,0.16,NaN,NaN
116.,25261090,OTHER NATRLSTEATITE NOT CRUSHED NOT PWORD,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
117.,27101990,OTHER PETROLEUM OILS AND OILS OBTAINE FROMBITUMINOUS MINERALS NES,KGS  ,1.05,NaN,NaN,21.05,63.66,202.41
118.,27121090,OTHER PETROLEUM JELLY,KGS  ,15.11,NaN,NaN,35.19,2.00,-94.32
119.,27122000,PARAFFIN WAX CONTAINING BY WEIGHT LESS THAN 0.75 % OF OIL:,KGS  ,17.72,35.43,100.00,17.72,88.58,400.00
120.,27129040,PARAFFIN WAX CONTAINING BY WEIGHT LESS THAN 0.75 % OF OIL,KGS  ,NaN,NaN,NaN,0.18,NaN,NaN
121.,28030010,CARBON BLACKS,KGS  ,NaN,NaN,NaN,NaN,1.00,NaN
122.,28061000,HYDROGEN CHLORIDE(HYDROCHLORIC ACID),KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
123.,28070010,SULPHURIC ACID,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
124.,28100020,BORIC ACID,KGS  ,0.50,NaN,NaN,0.50,NaN,NaN
125.,28112200,SILICON DIOXIDE,KGS  ,0.02,NaN,NaN,550.02,NaN,NaN
126.,28112990,"OTHER INORGNC OXGN COMPNDS OF NON-MTLS, NES",KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
127.,28151110,"FLAKES OF SODIUM HYDROXIDE(NAOH),SOLID",KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
128.,28151200,NAOH IN AQS SOLN (SODA LYE OR LQD SODA),KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
129.,28161010,MAGNESIUM HYDROXIDE,KGS  ,10.00,6.00,-40.00,10.50,26.00,147.62
130.,28170010,ZINC OXIDE,KGS  ,NaN,NaN,NaN,0.20,NaN,NaN
131.,28183000,ALUMINIUM HYDROXIDE,KGS  ,11.00,6.00,-45.45,11.30,25.00,121.24
132.,28230010,TITANIUM DIOXIDE,KGS  ,NaN,NaN,NaN,NaN,0.20,NaN
133.,28273990,"OTHER CHLORIDES, NES",KGS  ,0.10,NaN,NaN,0.10,NaN,NaN
134.,28276090,OTHER IDODIES AND OXYIODIDES,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
135.,28289030,SODIUM CHLORITE,KGS  ,NaN,NaN,NaN,NaN,9.53,NaN
136.,28299030,IODATES AND PERIODATES,KGS  ,0.05,NaN,NaN,0.07,NaN,NaN
137.,28321090,OTHER SODIUM SULPHITE,KGS  ,NaN,NaN,NaN,NaN,0.20,NaN
138.,28331100,DISODIUM SULPHATE,KGS  ,NaN,NaN,NaN,NaN,10.00,NaN
139.,28331990,OTHER SODIUM SULPHATES,KGS  ,NaN,NaN,NaN,0.20,NaN,NaN
140.,28332290,OTHER ALUMINIUM SULPHATE,KGS  ,NaN,NaN,NaN,0.03,NaN,NaN
141.,28332990,"OTHER SULPHATES, NES",KGS  ,NaN,NaN,NaN,NaN,5.00,NaN
142.,28352200,MONO OR DISODIUM PHOSPHATE,KGS  ,0.10,NaN,NaN,0.10,NaN,NaN
143.,28362010,DISODIUM CARBONATE DENSE,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
144.,28421000,DOUBLE OR COMPLEX SILICATES INCL. ALUMINOSILICATES,KGS  ,NaN,NaN,NaN,NaN,0.11,NaN
145.,28539090,OTHER,KGS  ,NaN,22.00,NaN,NaN,22.00,NaN
146.,29031300,CHLOROFORM (TRICHLOROMETHANE),KGS  ,NaN,NaN,NaN,0.28,NaN,NaN
147.,29039130,P - DICHLOROBENZENE (PARADICHLOROBENZENE),KGS  ,0.43,NaN,NaN,0.43,NaN,NaN
148.,29053200,"PRPPYLENE GLYCOL (PROPANE-1,2-DIOL)",KGS  ,NaN,9.89,NaN,NaN,9.89,NaN
149.,29054400,D-GLUCITOL (SORBITOL),KGS  ,8.10,24.00,196.30,77.10,24.00,-68.87
150.,29061100,MENTHOL,KGS  ,NaN,NaN,NaN,2.40,NaN,NaN
151.,29061990,"OTHER CYCLANIC, CYCLENIC OR CYCLOTERPENIC ALCOHOLS",KGS  ,NaN,NaN,NaN,0.78,NaN,NaN
152.,29072990,OTHER POLYPHENOLS AND PHENOL ALCOLS NES,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
153.,29081900,OTHER DERIVTVS CONTAINING ONLY HALOGEN SUBSTITUENTS AND THEIR SALTS,KGS  ,NaN,NaN,NaN,1.00,NaN,NaN
154.,29094990,OTHER,KGS  ,2.00,NaN,NaN,2.00,NaN,NaN
155.,29152100,ACETIC ACID,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
156.,29157090,"OTHER PALMITIC ACID, STEARIC ACID AND THEIR SALTS AND ESTRS",KGS  ,NaN,NaN,NaN,NaN,0.10,NaN
157.,29161290,OTHER ESTERS OF ACRYLIC ACID,KGS  ,NaN,NaN,NaN,0.25,NaN,NaN
158.,29163110,BENZOIC ACID,KGS  ,NaN,NaN,NaN,NaN,0.25,NaN
159.,29163140,SODIUM BENZOATE,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
160.,29163190,OTHER SALTS AND ESTERS OF BENZOIC ACID,KGS  ,NaN,NaN,NaN,NaN,0.50,NaN
161.,29173990,OTHER ARMTC PLYCRBOXYLIC ACIDS ETC.,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
162.,29181190,OTHER SALTS AND ESTERS OF LACTIC ACID,KGS  ,NaN,NaN,NaN,0.05,NaN,NaN
163.,29181400,CITRIC ACID,KGS  ,NaN,1.50,NaN,NaN,1.70,NaN
164.,29181510,POTASSIUM CITRATE,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
165.,29181690,OTHER GLUCONIC ACID ITS SALTS AND ESTERS,KGS  ,NaN,NaN,NaN,0.15,NaN,NaN
166.,29222933,PARA ACETYL AMINOPHENOL(PARACETAMOL),KGS  ,0.20,7.00,"3,400.00",2.50,26.00,940.00
167.,29222990,"OTHER AMINO-NAPHTHOLS AND OTHER AMINO- PHENOLS, THEIR ETHERS,ESTERS AND SALTS",KGS  ,NaN,3.50,NaN,NaN,3.50,NaN
168.,29225024,D0MPERID0NE,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
169.,29225090,OTHER FRUSEMIDE AMINODIAL DOMPERIDONE,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
170.,29232010,LECITHINS,KGS  ,NaN,NaN,NaN,20.00,NaN,NaN
171.,29242190,OTHER UREINES AND THR DRVTVS SALTS THEREOF,KGS  ,NaN,NaN,NaN,0.05,NaN,NaN
172.,29242990,OTHER CYCLIC AMIDES AND THR DRVTVS AND SALTS,KGS  ,NaN,0.10,NaN,0.13,0.10,-20.00
173.,29251100,SACCHARIN AND ITS SALTS,KGS  ,0.20,NaN,NaN,0.20,NaN,NaN
174.,29270090,OTHER DIAZO-AZO-OR AZOXY-COMPOUNDS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
175.,29291090,OTHER ISOCYANATES,KGS  ,5.97,NaN,NaN,12.51,NaN,NaN
176.,29321400,SUCRALOSE,KGS  ,NaN,0.30,NaN,0.50,0.50,0.00
177.,29329990,OTHER,KGS  ,NaN,0.10,NaN,NaN,0.10,NaN
178.,29331999,OTHER,KGS  ,NaN,NaN,NaN,NaN,0.80,NaN
179.,29332920,METRONIDAZOLE METRONIDIAZOLE BENZOATE,KGS  ,0.50,4.45,790.00,0.65,4.95,661.54
180.,29333200,PIPERIDINE AND ITS SALTS,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
181.,29333990,OTHER CMPNDS CNTNG AN UNFUSED PYRDN RING (W/N HYDRGNTD ) IN STRUCTURE,KGS  ,NaN,NaN,NaN,2.75,NaN,NaN
182.,29334900,"OTHE CMPNDS CNTNG IN STRUCTURE A QUINOLINEOR ISOQUINOLINE RING SYSTEM (W/N HYDRGNTD),NOT FURTHER FUSED",KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
183.,29335920,TRIMETHOPRIM,KGS  ,NaN,NaN,NaN,NaN,0.35,NaN
184.,29335990,OTHER CMPNDS CNTNG A PYRIMIDINE RING (W/N HYDRGNTD) OR PIPERAZINE RING IN STRUCTURE,KGS  ,1.05,NaN,NaN,1.05,NaN,NaN
185.,29339990,OTHER,KGS  ,NaN,NaN,NaN,0.30,NaN,NaN
186.,29349990,OTHER,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
187.,29359011,SULPHAMETHOXAZOLE,KGS  ,1.00,NaN,NaN,1.50,2.00,33.33
188.,29362210,"VITAMIN B1I(THIAMINE, ANEURINE) AND ITS SALT",KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
189.,29362290,OTHER VITAMIN B1I AND ITS DRIVATIVES,KGS  ,NaN,NaN,NaN,0.05,NaN,NaN
190.,29362310,"VITAMIN B2 (RIBOFLAVIN, LACTOPLAVIN) AND ITS SALTS",KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
191.,29362500,VITAMIN B6 AND ITS DRVTS,KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
192.,29362610,VITAMIN B12 (CYNOCOBALAMIN),KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
193.,29362700,VITAMIN C (ASCORBIC ACID) AND ITS DRVTVS,KGS  ,0.50,NaN,NaN,1.20,NaN,NaN
194.,29362800,VITAMIN E AND ITS DERIVATIVES,KGS  ,NaN,0.04,NaN,0.50,0.04,-92.00
195.,29362920,NCTNC ACID AND NCTNMD(NIACINAMIDE/NIACINE,KGS  ,NaN,NaN,NaN,1.00,0.20,-80.00
196.,29362990,OTHER VITAMINS AND THR DRVTVS,KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
197.,29369000,"OTHER, INCL. NATURAL CONCENTRTS",KGS  ,NaN,NaN,NaN,9.62,36.00,274.30
198.,29372100,"CORTISONE,HYDROCORTISONE,PREDNISONE (DEHY-DROCORTISONE)AND FREDNISOLONE AND PRDNSLN(DEHYDROHYDROCORTISONE)",KGS  ,NaN,NaN,NaN,0.00,0.00,-33.33
199.,29372200,HALGNTD DRVTVS OF CORTI COSTEROIDAL,KGS  ,NaN,NaN,NaN,NaN,0.21,NaN
200.,29372900,OTHR STEROIDAL HORMONS THR DRVTVS AND STRCTL ANLGES,KGS  ,0.00,NaN,NaN,0.00,0.10,"9,900.00"
201.,29392030,QUININE SULPHATE,KGS  ,NaN,NaN,NaN,NaN,13.00,NaN
202.,29411020,AMPICILLINE AND ITS SALTS,KGS  ,NaN,0.20,NaN,NaN,0.20,NaN
 203.,29411030,AMOXYCILLINE AND ITS SALTS,KGS  ,0.75,NaN,NaN,0.90,NaN,NaN
204.,29411090,OTHER PENICILLINS AND THR DRVTVS WTH A PENTCILLIANIC ACID STRCTR SLTS THEREOF,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
205.,29413020,TETRACYCLINE/OXYTETRA - CYCLINE AND HR SALTS,KGS  ,NaN,NaN,NaN,0.08,NaN,NaN
206.,29419030,CIPROFLOXACINE AND ITS SALTS,KGS  ,NaN,NaN,NaN,3.20,0.30,-90.63
207.,29419050,NEOMYCIN,KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
208.,29419090,OTHER ANTIBIOTICS,KGS  ,1.20,0.65,-45.74,3.41,0.65,-80.92
209.,29420012,IBUPROFANE,KGS  ,0.20,NaN,NaN,0.20,1.00,400.00
210.,29420031,DILOXANIDE FUROATE,KGS  ,NaN,NaN,NaN,0.15,NaN,NaN
211.,29420090,"OTHER DILOXANIDE FUROATE, CIMETIDINE, FAMOTIDINE NES",KGS  ,0.08,0.09,12.50,0.28,0.17,-41.07
212.,30021230,FOR RABIES,KGS  ,NaN,NaN,NaN,0.06,NaN,NaN
213.,30021290,OTHER,KGS  ,NaN,0.00,NaN,0.01,0.00,-66.67
214.,30021500,"IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE",KGS  ,0.02,NaN,NaN,0.08,0.46,464.63
215.,30022012,*VACCINES FOR HEPATITIS,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
216.,30022014,*VACCINES FOR POLIO,KGS  ,1.71,NaN,NaN,7.04,NaN,NaN
217.,30022015,*VACCINES FOR TUBERCULINS(B.C.G.),KGS  ,NaN,NaN,NaN,0.49,NaN,NaN
218.,30022019,*OTHER SINGLE VACCINE,KGS  ,NaN,NaN,NaN,6.67,NaN,NaN
219.,30022029,*OTHER MIXED VACCINE,KGS  ,1.32,NaN,NaN,1.32,NaN,NaN
220.,30023000,*VACCINES FOR VETERINARY MADICINE,KGS  ,NaN,NaN,NaN,0.15,NaN,NaN
221.,30024112,HEPATITIS (SINGLE VACCINES FOR),KGS  ,NaN,NaN,NaN,NaN,0.92,NaN
222.,30024114,POLIO (SINGLE VACCINES FOR),KGS  ,NaN,16.14,NaN,NaN,16.14,NaN
223.,30024115,TUBERCULOSIS (SINGLE VACCINES FOR),KGS  ,NaN,0.43,NaN,NaN,0.43,NaN
224.,30024116,RABIES (SINGLE VACCINES FOR),KGS  ,NaN,0.08,NaN,NaN,0.08,NaN
225.,30024122,DIPHTHERIA AND TETATUS (DT),KGS  ,NaN,2.16,NaN,NaN,2.16,NaN
226.,30024129,OTHER,KGS  ,NaN,3.53,NaN,NaN,3.98,NaN
227.,30024200,VACCINE FOR VETERINARY MEDICINE,KGS  ,NaN,NaN,NaN,NaN,0.20,NaN
228.,30029030,*CULTURES OF MICRO-ORGANISMS (EXCL YEAST),KGS  ,NaN,NaN,NaN,0.06,NaN,NaN
229.,30029090,OTHER,KGS  ,NaN,0.01,NaN,0.01,0.03,262.50
